self.yaw: -2.3119821548461914
self.home: array('f', [-1.267073392868042, 6.374765396118164, 2.511545419692993])
shift: [0. 0. 0.]
apriltag bezier - count : 386,   delta_t : 29,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96928394  6.35222769 -5.45354271]
apriltag bezier - count : 386,   delta_t : 30,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96986127  6.35128117 -5.4376564 ]
apriltag bezier - count : 386,   delta_t : 31,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.97015822  6.35081053 -5.42983198]
apriltag bezier - count : 386,   delta_t : 32,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.97078341  6.34986544 -5.41417122]
apriltag bezier - count : 386,   delta_t : 33,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.97149551  6.34850216 -5.39085197]
apriltag bezier - count : 386,   delta_t : 34,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.9720456   6.34754324 -5.37519455]
apriltag bezier - count : 386,   delta_t : 35,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.9720456   6.34754324 -5.37519455]
apriltag bezier - count : 386,   delta_t : 36,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.97343057  6.34569931 -5.34355259]
apriltag bezier - count : 386,   delta_t : 37,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.97434539  6.34492159 -5.32740688]
apriltag bezier - count : 386,   delta_t : 38,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.97482598  6.3441534  -5.31114769]
