self.yaw: -3.1401572227478027
self.home: array('f', [-0.29942286014556885, 0.6769797205924988, -12.380651473999023])
apriltag bezier - count : 582,   delta_t : 23,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.2978552    0.61440587 -20.84386635]
apriltag bezier - count : 582,   delta_t : 24,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.29685515   0.61385751 -20.83597755]
apriltag bezier - count : 582,   delta_t : 25,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.29389745   0.61229378 -20.81236649]
apriltag bezier - count : 582,   delta_t : 26,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.29174495   0.61134869 -20.79670143]
apriltag bezier - count : 582,   delta_t : 27,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.289608     0.61033136 -20.78124619]
apriltag bezier - count : 582,   delta_t : 28,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.28739858   0.60924911 -20.7654171 ]
apriltag bezier - count : 582,   delta_t : 29,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.28530926   0.6080085  -20.74926949]
apriltag bezier - count : 582,   delta_t : 30,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.28350306   0.60692984 -20.73346901]
apriltag bezier - count : 582,   delta_t : 31,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.28150329   0.60587615 -20.7177639 ]
apriltag bezier - count : 582,   delta_t : 32,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.27956533   0.60484606 -20.7019062 ]
apriltag bezier - count : 582,   delta_t : 33,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.27766874   0.60378164 -20.68560219]
apriltag bezier - count : 582,   delta_t : 34,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.27556965   0.6025306  -20.6691227 ]
apriltag bezier - count : 582,   delta_t : 35,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.27348018   0.60133356 -20.65285683]
apriltag bezier - count : 582,   delta_t : 36,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.27148619   0.60024792 -20.63672066]
apriltag bezier - count : 582,   delta_t : 37,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.26936525   0.59903634 -20.62084389]
apriltag bezier - count : 582,   delta_t : 38,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.26710838   0.59778452 -20.60459328]
apriltag bezier - count : 582,   delta_t : 39,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.26598316   0.59724182 -20.5963707 ]
apriltag bezier - count : 582,   delta_t : 40,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.2625854    0.59550959 -20.57175064]
apriltag bezier - count : 582,   delta_t : 41,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.26033062   0.59433669 -20.55541611]
apriltag bezier - count : 582,   delta_t : 42,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.25921267   0.59387088 -20.54720688]
apriltag bezier - count : 582,   delta_t : 43,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.25566608   0.59212238 -20.52245331]
apriltag bezier - count : 582,   delta_t : 44,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.25332007   0.59093893 -20.50547409]
apriltag bezier - count : 582,   delta_t : 45,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.25112742   0.58979058 -20.48848915]
apriltag bezier - count : 582,   delta_t : 46,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.24889743   0.5885815  -20.4716053 ]
